CAS_Number,SMILES,pLD50,"LD50,mg/kg"
53335-18-5,CCN(CC)CCOc1c(C(C)C)ccc(C)c1C(=O)O,2.71928,559.6
122111-03-9,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,2.72132,499.76
27318-86-1,COc1cc(OC)cc(OCCO)c1,2.72311,374.76
6091-44-7,C1CCNCC1,2.72606,159.886
96593-32-7,CC1(C)SC2C(NC(=O)C(NC(=O)c3ccc(/C=C/c4cccnc4)[nH]c3=O)c3ccc(O)cc3)C(=O)N2C1C(=O)O,2.72919,1099.13
5815-64-5,O=C(CN1CCOCC1)Nc1ccccc1,2.73018,409.72
91012-53-2,CON(C)C(=O)COc1ccccc1,2.73301,360.76
102612-61-3,CC(=O)NC1C(O)C(N)C(OC2OC(CO)C(O)C(N)C2O)C(O)C1OC1OC(CO)C(O)C(O)C1N,2.73443,999.46
36763-33-4,CCN(CC)C(=O)c1cccc(C(=O)N(CC)CC)n1,2.73549,509.65
51806-90-7,CCNc1cc(C)nc2ncnn12,2.73661,324.8
103175-73-1,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(CC(C)=O)CC3)cc21,2.73944,683.56
73908-90-4,CC1=NS(=O)(=O)NC(C)(C)C1,2.74096,319.67
67330-25-0,CCCCOC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1,2.74274,609.62
2088-07-5,C=C(C)C(O)CC,2.74543,179.87
29948-36-5,O=C(O)CNCCSSCCNCC(=O)O,2.74748,479.45
55791-88-3,CC(C)C(=O)Nc1cccc(O)c1,2.74823,319.78
2425-74-3,CC(C)(C)NC=O,2.74969,179.884
23197-58-2,CC(=O)Nc1c(I)cc(I)c(OC(C(=O)O)c2ccccc2C)c1I,2.75142,1199.63
775-06-4,NC(Cc1cccc(O)c1)C(=O)O,2.75299,319.79
46125-42-2,N#CCCOc1ccc(Cl)cc1,2.75402,318.96
25293-29-2,Nc1cccc(Nc2ccccc2C(=O)O)c1,2.75635,399.72
35170-28-6,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,2.7582,605.62
10048-32-5,CC1CC=CC(=O)O1,2.75968,194.869
17771-34-5,CNC(=O)Nc1ccc(Cl)cn1,2.76346,319
29045-17-8,CCN(C(C)=O)c1c(I)c(C(=O)N(CC(=O)O)Cc2ccccc2)c(I)c(N(CC)C(C)=O)c1I,2.7662,1399.49
